"c1","c2","phrase","freq"
"don't","pass","don't pass",2
"couldn't","so","couldn't so",1
"doesn't","trip","doesn't trip",1
"not","physical","not physical",2
"not","you've","not you've",1
"not","indian","not indian",1
"isn't","focused","isn't focused",1
"didn't","feel","didn't feel",6
"don't","push","don't push",1
"not","barred","not barred",4
"doesn't","undermine","doesn't undermine",3
"wasn't","violent","wasn't violent",1
"don't","picture","don't picture",1
"not","slashed","not slashed",1
"isn't","no","isn't no",1
"not","covalently","not covalently",3
"not","producing","not producing",2
"can't","disprove","can't disprove",1
"not","removed","not removed",1
"didn't","interesting","didn't interesting",1
"haven't","started","haven't started",5
"not","separated","not separated",2
"wouldn't","put","wouldn't put",2
"shouldn't","today's","shouldn't today's",1
"not","assuming","not assuming",1
"don't","g-","don't g-",1
"not","watering","not watering",2
"doesn't","excel","doesn't excel",1
"couldn't","refer","couldn't refer",1
"don't","those","don't those",2
"haven't","got","haven't got",6
"ain't","","",NA
"","ain't ","",NA
"","1","",NA
"not","scheduled","not scheduled",2
"aren't","gonna","aren't gonna",14
"not","mathematically","not mathematically",1
"don't","act","don't act",2
"can't","footnote","can't footnote",1
"not","commit","not commit",1
"not","homeless","not homeless",1
"weren't","exactly","weren't exactly",1
"not","roaring","not roaring",1
"not","due","not due",5
"doesn't","conform","doesn't conform",2
"not","save","not save",1
"didn't","state","didn't state",1
"don't","bind","don't bind",1
"isn't","on","isn't on",1
"doesn't","exactly","doesn't exactly",4
"weren't","too","weren't too",1
"don't","design","don't design",1
"don't","add","don't add",1
"shouldn't","even","shouldn't even",3
"not","invariant","not invariant",1
"not","ratified","not ratified",1
"don't","expose","don't expose",1
"don't","h-","don't h-",1
"don't","either","don't either",2
"don't","hallucinate","don't hallucinate",1
"aren't","constants","aren't constants",1
"not","placing","not placing",1
"not","talked","not talked",1
"not","saturn","not saturn",1
"couldn't","uh","couldn't uh",1
"can't","control","can't control",3
"not","remember","not remember",3
"doesn't","predict","doesn't predict",1
"can't","associate","can't associate",1
"not","between","not between",3
"weren't","more","weren't more",2
"didn't","notice","didn't notice",3
"didn't","all","didn't all",4
"couldn't","interbreed","couldn't interbreed",1
"couldn't","um","couldn't um",2
"not","care","not care",4
"not","had","not had",4
"not","proven","not proven",1
"not","composed","not composed",1
"not","cri-","not cri-",1
"not","real-","not real-",1
"not","lose","not lose",1
"don't","under-","don't under-",1
"aren't","aware","aren't aware",2
"didn't","kn-","didn't kn-",1
"not","less","not less",1
"not","optimizing","not optimizing",1
"shouldn'ta","put","shouldn'ta put",1
"aren't","dilapidated","aren't dilapidated",1
"wouldn't","give","wouldn't give",1
"not","mirrored","not mirrored",1
"not","concluded","not concluded",1
"not","perfectly","not perfectly",1
"not","has","not has",1
"didn't","park","didn't park",2
"wouldn't","read","wouldn't read",1
"not","hav","not hav",1
"isn't","prime","isn't prime",1
"not","loss","not loss",1
"not","organize","not organize",1
"didn't","un-","didn't un-",1
"can't","equal","can't equal",2
"not","attached","not attached",1
"weren't","doing","weren't doing",2
"didn't","make","didn't make",19
"not","feel","not feel",1
"didn't","cover","didn't cover",1
"don't","i-","don't i-",2
"not","all","not all",58
"not","rap","not rap",1
"haven't","proved","haven't proved",1
"not","squeeze","not squeeze",1
"didn't","hafta","didn't hafta",3
"aren't","sort","aren't sort",1
"not","from","not from",13
"haven't","talked","haven't talked",20
"can't","lose","can't lose",1
"don't","go","don't go",27
"doesn't","pause","doesn't pause",1
"wasn't","where","wasn't where",1
"not","grammar","not grammar",1
"doesn't","blast","doesn't blast",1
"not","mediated","not mediated",1
"couldn't","interact","couldn't interact",1
"doesn't","destroy","doesn't destroy",1
"can't","expect","can't expect",1
"not","local","not local",1
"can't","attract","can't attract",1
"not","plant","not plant",1
"didn't","seem","didn't seem",14
"couldn't","learn","couldn't learn",1
"haven't","proven","haven't proven",1
"not","hunted","not hunted",1
"not","transitioning","not transitioning",1
"not","overhead","not overhead",1
"not","bitter","not bitter",1
"didn't","show","didn't show",8
"not","normally","not normally",2
"not","wallowing","not wallowing",1
"don't-","pick","don't- pick",1
"not","excuse","not excuse",1
"don't","believe","don't believe",24
"didn't","without","didn't without",1
"won't","you'll","won't you'll",1
"isn't","mkay","isn't mkay",1
"wasn't","it's","wasn't it's",1
"don't","degenerate","don't degenerate",2
"not","complete","not complete",5
"not","leaving","not leaving",1
"hasn't","decreased","hasn't decreased",1
"not","accidental","not accidental",1
"can't","cure","can't cure",1
"isn't","s-","isn't s-",1
"isn't","successful","isn't successful",1
"not","f-of-zero","not f-of-zero",1
"not","aiming","not aiming",1
"not","cast","not cast",1
"don't","he","don't he",1
"not","super","not super",1
"doesn't","grow","doesn't grow",1
"not","exact","not exact",1
"didn't","and","didn't and",2
"aren't","careful","aren't careful",1
"couldn't","we","couldn't we",5
"didn't","pass","didn't pass",2
"didn't","re-","didn't re-",1
"not","amp","not amp",1
"can't","let","can't let",5
"weren't","trading","weren't trading",1
"wouldn't","help","wouldn't help",2
"can't","you","can't you",29
"didn't","push","didn't push",2
"not","paper","not paper",2
"not","consistent","not consistent",8
"doesn't","multiply","doesn't multiply",1
"don't","they're","don't they're",2
"not","beautiful","not beautiful",1
"not","located","not located",2
"not","adequately","not adequately",1
"can't","cause","can't cause",2
"not","blue","not blue",1
"don't","explain","don't explain",1
"haven't","declared","haven't declared",1
"not","believe","not believe",2
"don't","panic","don't panic",1
"don't","close","don't close",1
"isn't","commander","isn't commander",1
"not","and","not and",41
"wouldn't've","even","wouldn't've even",1
"isn't","documentation","isn't documentation",1
"won't","mention","won't mention",2
"don't","if","don't if",14
"not","right","not right",23
"don't","refer","don't refer",1
"not","ap-","not ap-",1
"wouldn't","necessarily","wouldn't necessarily",8
"can't","quite","can't quite",7
"not","he's","not he's",1
"can't","detach","can't detach",1
"don't","let's","don't let's",2
"don't","is","don't is",1
"isn't","harmful","isn't harmful",1
